id,address,city,street,house_number,entrance,zip,match_type,itm_x,itm_y,utm_x,utm_y,source_file,status
001027-082456-00017-X,"הברוש 17, דימונה",דימונה,הברוש,17,,8602957,street,202871.68,552705.97,693746.71,3438625.13,File B (Preferred),resolved_preference
001027-073567-02564-X,"מורן החורש 124, דימונה",דימונה,מורן החורש,124,,,none,,,,,File A,ok
001027-082052-00212-X,"בר כוכבא 212, דימונה",דימונה,בר כוכבא,212,,8604644,street,203406.55,552625.19,694283.11,3438554.99,File B (Preferred),resolved_preference
001027-082696-00788-X,"היורה 788, דימונה",דימונה,היורה,788,,8601240,street,203066.32,552086.99,693953.62,3438010.11,File B (Preferred),resolved_preference
001027-073567-02567-X,"? 58, דימונה",דימונה,?,58,,,exact,202916.48,553067.27,,,File A,ok
001027-073567-02567-X,"? 58, דימונה",דימונה,?,58,,,exact,202916.48,553067.27,,,File A,ok
001027-073567-02567-X,"? 58, דימונה",דימונה,?,58,,,exact,202916.48,553067.27,,,File A,ok
001027-073567-02567-X,"? 58, דימונה",דימונה,?,58,,,exact,202916.48,553067.27,,,File A,ok
001027-077164-00755-X,"הכלנית 755, דימונה",דימונה,הכלנית,755,,8603724,street,202933.93,552334.38,693816.33,3438254.83,File B (Preferred),resolved_preference
001027-073567-02569-X,"הר כנען 12, דימונה",דימונה,הר כנען,12,,,exact,203648.05,555106.68,,,File A,ok
001027-073567-02570-X,"משעול התקוה 5, דימונה",דימונה,משעול התקוה,5,,,none,,,,,File A,ok
001027-073567-02571-X,"נורית 19, דימונה",דימונה,נורית,19,,,none,,,,,File A,ok
001027-073567-02572-X,"שיזף 78, דימונה",דימונה,שיזף,78,,,exact,203823.08,554593.96,,,File A,ok
001027-073567-02573-X,"אקליפטוס 37, דימונה",דימונה,אקליפטוס,37,,,exact,203971.73,554232.61,,,File A,ok
001027-073567-02574-X,"ישעיה 14, דימונה",דימונה,ישעיה,14,,,exact,203410.61,554324.15,,,File A,ok
001027-073567-02575-X,"שד הנשיא 11, דימונה",דימונה,שד הנשיא,11,,,none,,,,,File A,ok
001027-073567-02576-X,"הרמה 47, דימונה",דימונה,הרמה,47,,,exact,203982.38,553020.74,,,File A,ok
001027-073567-02577-X,"ציפורי 69, דימונה",דימונה,ציפורי,69,,,exact,203753.19,551482.57,,,File A,ok
001027-083523-00014-X,"רחבת האיסיים 14, דימונה",דימונה,רחבת האיסיים,14,,8604742,street,203693.44,552766.84,694567.14,3438702.31,File B (Preferred),resolved_preference
001027-073567-02579-X,"? 49, דימונה",דימונה,?,49,,,exact,202852.91,552430.51,,,File A,ok
001027-073567-02580-X,"ליבנה 48, דימונה",דימונה,ליבנה,48,,,exact,203871.49,554274.69,,,File A,ok
