utm_x,utm_y,lat,lon,file_street,file_house,file_match_type
694489.86,3438614.97,31.0652131,35.0384532,מתתיהו הכהן,224,exact
694514.67,3438608.98,31.065155,35.0387119,מתתיהו הכהן,225,exact
694539.89,3438601.95,31.0650874,35.0389747,מתתיהו הכהן,226,exact
694503.54,3438647.22,31.0655017,35.0386027,מתתיהו הכהן,249,exact
694283.11,3438554.99,31.0647065,35.0362758,בר כוכבא,,street
694309.17,3438502.03,31.0642246,35.0365386,בר כוכבא,206,exact
694308.22,3438530.33,31.06448,35.0365341,בר כוכבא,207,exact
692558.11,3438736.35,31.066626,35.0182402,המלאכה,,street
694491.9,3438544.89,31.0645808,35.038461,הסנהדרין,274,exact
694444.5,3438519.11,31.0643562,35.0379596,הסנהדרין,275,exact
694446.78,3438492.16,31.0641128,35.0379783,הסנהדרין,276,exact
694503.88,3438512.14,31.0642835,35.0385802,הסנהדרין,277,exact
694630.71,3438443.66,31.063645,35.0398956,כובשי אילת,,street
694392.81,3438237.09,31.0618217,35.0373639,כובשי אילת,2,exact
694449.61,3438242.01,31.0618567,35.0379598,כובשי אילת,103,exact
694443.97,3438763.07,31.0665562,35.0380009,החשמונאים,235,exact
694445.3,3438736.01,31.066312,35.0380097,החשמונאים,236,exact
694444.77,3438710.4,31.0660811,35.0379992,החשמונאים,237,exact
694487.57,3438732.62,31.0662744,35.0384518,החשמונאים,502,street
693746.71,3438625.13,31.0654276,35.0306703,הברוש,,street
693783.81,3438633.05,31.0654929,35.0310604,הברוש,4,exact
693810.64,3438642.28,31.0655717,35.0313433,הברוש,7,exact
693807.15,3438627.32,31.0654374,35.0313038,הברוש,9,exact
693772.07,3438604.37,31.0652362,35.030932,הברוש,11,exact
693723.03,3438638.66,31.0655535,35.0304248,הברוש,19,exact
693547.42,3438442.3,31.0638118,35.0285476,השקד,1,street
693145,3438398.99,31.0634875,35.0243239,התירוש,,street
693965.09,3438025.95,31.0599885,35.032843,היורה,13,exact
693953.62,3438010.11,31.0598475,35.0327198,היורה,67,street
694193.78,3438332.81,31.0627178,35.0352974,הצבר,25,street
693617.55,3439086.97,31.0696135,35.0294057,העצמאות,1006,street
694274.81,3439353.02,31.071904,35.0363423,המעפיל,1,street
693699.07,3439273.8,31.0712848,35.0302955,המעפיל,2,exact
693718.16,3439314.69,31.0716504,35.0305034,המעפיל,4,exact
693753.58,3439317.74,31.071672,35.030875,המעפיל,6,exact
693996.22,3439372.92,31.0721295,35.0334275,המעפיל,9,exact
694006.98,3439366.97,31.0720741,35.0335391,המעפיל,11,exact
694006.4,3439332.14,31.0717601,35.0335264,המעפיל,12,exact
694018.34,3439373.2,31.0721284,35.0336593,המעפיל,13,exact
694014.62,3439328.57,31.0717266,35.0336118,המעפיל,14,exact
694034.15,3439367.58,31.0720751,35.0338239,המעפיל,15,exact
